"SRRID"	"sampleID"
"SRR1069188"	"SRR1069188"	"GTEX-XLM4"
"SRR1073143"	"SRR1073143"	"GTEX-X585"
"SRR1072797"	"SRR1072797"	"GTEX-X585"
"SRR1072367"	"SRR1072367"	"GTEX-XMD1"
"SRR1072178"	"SRR1072178"	"GTEX-XMD1"
"SRR1077687"	"SRR1077687"	"GTEX-XLM4"
"SRR1073755"	"SRR1073755"	"GTEX-OHPN"
"SRR1078347"	"SRR1078347"	"GTEX-XMD1"
"SRR1076072"	"SRR1076072"	"GTEX-X4XX"
"SRR1078879"	"SRR1078879"	"GTEX-X585"
"SRR1071880"	"SRR1071880"	"GTEX-X261"
"SRR1081741"	"SRR1081741"	"GTEX-X585"
"SRR1080172"	"SRR1080172"	"GTEX-QVJO"
"SRR1082328"	"SRR1082328"	"GTEX-X585"
"SRR1072504"	"SRR1072504"	"GTEX-WZTO"
"SRR1080927"	"SRR1080927"	"GTEX-X4XX"
"SRR1079591"	"SRR1079591"	"GTEX-XLM4"
"SRR1070986"	"SRR1070986"	"GTEX-WZTO"
"SRR1079168"	"SRR1079168"	"GTEX-XLM4"
"SRR1082262"	"SRR1082262"	"GTEX-XLM4"
"SRR1080835"	"SRR1080835"	"GTEX-X4XX"
"SRR1074164"	"SRR1074164"	"GTEX-XOTO"
"SRR1085495"	"SRR1085495"	"GTEX-X4XX"
"SRR1085015"	"SRR1085015"	"GTEX-X585"
"SRR1071289"	"SRR1071289"	"GTEX-X4XY"
"SRR1085850"	"SRR1085850"	"GTEX-X4XX"
"SRR1087152"	"SRR1087152"	"GTEX-XLM4"
"SRR1085975"	"SRR1085975"	"GTEX-XMD1"
"SRR1086561"	"SRR1086561"	"GTEX-X4XX"
"SRR1085782"	"SRR1085782"	"GTEX-XMD1"
"SRR1087031"	"SRR1087031"	"GTEX-X585"
"SRR1086680"	"SRR1086680"	"GTEX-XMD1"
"SRR1079281"	"SRR1079281"	"GTEX-XOTO"
"SRR1092706"	"SRR1092706"	"GTEX-XLM4"
"SRR1092797"	"SRR1092797"	"GTEX-XLM4"
"SRR1086635"	"SRR1086635"	"GTEX-XMD1"
"SRR1088389"	"SRR1088389"	"GTEX-X585"
