pAGE	pGENDER	pBR
8|ENSG00000197302.10_3|ZNF720|chr16|+|31734578|31734674|31724549|31724769|31765086|31765177	0.536162831560776	0.999348338890353	3.03442469693212e-06
9|ENSG00000197302.10_3|ZNF720|chr16|+|31734578|31734674|31724554|31724756|31765086|31765177	0.533370339506923	0.855537591108752	8.45457147798485e-13
11|ENSG00000197302.10_3|ZNF720|chr16|+|31744831|31744948|31734578|31734674|31765086|31765221	0.023654335069419	0.314009212963825	3.94573082532654e-57
86|ENSG00000183726.10_2|TMEM50A|chr1|+|25679372|25679465|25678116|25678184|25683283|25683344	0.940831482397925	0.459365243080435	1.55164662350429e-24
97|ENSG00000144134.18_2|RABL2A|chr2|+|114392627|114392707|114391729|114391809|114398929|114399027	0.735931932065424	0.929248432501055	5.99536438391966e-72
103|ENSG00000144134.18_2|RABL2A|chr2|+|114398470|114398582|114392627|114392707|114398929|114399027	0.400797315537268	0.322512454045116	2.41187553070034e-24
147|ENSG00000135549.10|PKIB|chr6|+|122996222|122996289|122954427|122954512|123038931|123039108	0.715211165065416	0.0619387515738621	1.77795347383632e-25
241|ENSG00000101557.14_3|USP14|chr18|+|178932|179037|166786|166819|180235|180339	0.907712203267286	0.882137079731129	4.29784763225105e-17
261|ENSG00000221838.9_2|AP4M1|chr7|+|99699868|99700016|99699502|99699591|99700297|99700404	0.0202738690357282	0.603348945697747	1.21719175926243e-13
263|ENSG00000221838.9_2|AP4M1|chr7|+|99700297|99700369|99699502|99699591|99701031|99701142	0.796829643608059	0.515788756995181	0.00433857984234049
265|ENSG00000221838.9_2|AP4M1|chr7|+|99700297|99700404|99699488|99699591|99701031|99701142	0.822806884935873	0.531247969065276	0.00599022583670409
272|ENSG00000221838.9_2|AP4M1|chr7|+|99702496|99702563|99701714|99701777|99702667|99702721	0.93593817074795	0.191860475111059	9.4544955309631e-121
273|ENSG00000221838.9_2|AP4M1|chr7|+|99702496|99702563|99701714|99701777|99702862|99702969	0.489671890180069	0.478325494211718	1.57946596735114e-82
274|ENSG00000221838.9_2|AP4M1|chr7|+|99702667|99702721|99701714|99701777|99702862|99702969	0.566156670501194	0.457441215137322	8.52233728892858e-53
388|ENSG00000108848.15_3|LUC7L3|chr17|+|48814647|48814840|48796930|48797192|48817666|48817706	0.896155035390708	0.456007856051643	0.107999093655748
392|ENSG00000108848.15_3|LUC7L3|chr17|+|48814647|48814840|48814320|48814387|48817666|48817706	0.390818938866631	0.861940030961571	1.18925652108505e-159
396|ENSG00000108848.15_3|LUC7L3|chr17|+|48815497|48815560|48814647|48814840|48817666|48817706	0.341446929938253	0.426137747189831	4.68263869431223e-135
434|ENSG00000108848.15_3|LUC7L3|chr17|+|48826579|48826705|48823902|48824063|48827861|48827911	0.0130406441438869	0.485229605641292	1.03842548029562e-145
436|ENSG00000108848.15_3|LUC7L3|chr17|+|48826584|48826705|48823902|48824063|48828107|48828374	0.105997636566142	0.59040684342627	6.77303372037068e-28
439|ENSG00000108848.15_3|LUC7L3|chr17|+|48827861|48828002|48823902|48824063|48828107|48828213	0.596681179555875	0.830263951378108	1.97213532674445e-42
444|ENSG00000108848.15_3|LUC7L3|chr17|+|48828657|48828723|48828107|48828213|48829560|48829946	0.100124345994323	0.703403622586808	8.41754255957374e-07
474|ENSG00000186522.14_3|SEPT10|chr2|-|110342702|110342898|110332157|110332344|110350627|110350696	0.870968437606757	0.109128385056383	6.08747780530102e-24
475|ENSG00000186522.14_3|SEPT10|chr2|-|110342702|110342898|110332157|110332344|110371374|110371514	0.135482371862468	0.866698087228389	2.91927194792156e-06
486|ENSG00000186522.14_3|SEPT10|chr2|-|110350627|110350696|110343296|110343415|110371374|110371412	0.336092611725479	0.649775318497041	1.57734253596647e-08
535|ENSG00000172888.11_2|ZNF621|chr3|+|40570809|40570936|40567269|40567355|40571699|40571807	0.769276573534139	0.43459896696563	2.40245090781927e-05
626|ENSG00000205593.11_3|DENND6B|chr22|-|50754994|50755055|50754798|50754904|50755721|50755802	0.0292419029719008	0.131912322215931	4.60341355225617e-10
627|ENSG00000205593.11_3|DENND6B|chr22|-|50754994|50755141|50754798|50754904|50755721|50755802	0.0125978958792708	0.577805581755251	1.71032751516841e-10
700|ENSG00000071462.11_3|WBSCR22|chr7|+|73108321|73108380|73107953|73107999|73111934|73112024	0.885789912025139	0.555758500645604	2.83776345357566e-10
716|ENSG00000215114.8_2|UBXN2B|chr8|+|59325857|59325930|59323917|59324028|59329408|59329512	0.889272374604928	0.855689579243313	2.09963617551859e-13
748|ENSG00000215114.8_2|UBXN2B|chr8|+|59347416|59347507|59346953|59347063|59352191|59352329	0.483805037351068	0.806113848375484	3.36127745746932e-44
911|ENSG00000153827.13_3|TRIP12|chr2|-|230725121|230725247|230723487|230724290|230744697|230744844	0.268705183954464	0.300940118677641	2.86281743793489e-05
922|ENSG00000186469.8_2|GNG2|chr14|+|52344334|52344375|52327359|52327508|52417367|52417483	0.502558202872494	0.656299936167297	3.42339610474459e-05
975|ENSG00000173409.13_3|ARV1|chr1|+|231126345|231126444|231125855|231126009|231131505|231131730	0.694098793287067	0.863591037459626	0.0495504549529796
1007|ENSG00000159208.15_2|CIART|chr1|+|150256214|150256290|150255228|150256043|150256835|150256914	0.339542604159195	0.710349481880953	1.50602067774382e-35
1189|ENSG00000091592.15_3|NLRP1|chr17|-|5424200|5424332|5421065|5421207|5424843|5425106	0.63179382846426	0.675716793112471	1.29115170204511e-06
1208|ENSG00000091592.15_3|NLRP1|chr17|-|5440170|5440260|5437216|5437308|5442734|5442905	0.149093216077898	0.509073877099683	0.00430968651533715
1228|ENSG00000255036.6_3|RP11-23J9.4|chr9|+|100043797|100043951|100041643|100041755|100049941|100050017	0.663236042974262	0.656475467363054	5.95914523053922e-38
1253|ENSG00000255036.6_3|RP11-23J9.4|chr9|+|100090301|100090428|100088835|100088951|100092435|100092475	0.0946856234607161	0.9781521309916	8.45463181684944e-105
1270|ENSG00000255036.6_3|RP11-23J9.4|chr9|+|100105621|100105845|100092603|100093049|100116850|100116995	0.419228420579034	0.667077858940257	9.90458113170393e-06
1302|ENSG00000255036.6_3|RP11-23J9.4|chr9|+|100112690|100112837|100105621|100105845|100116850|100116995	0.0694437247068056	0.276474323089048	0.0866445096978333
1321|ENSG00000255036.6_3|RP11-23J9.4|chr9|+|100126299|100126410|100124644|100124723|100127954|100128021	0.865094911219694	0.480831299167639	2.54749251092597e-34
1326|ENSG00000255036.6_3|RP11-23J9.4|chr9|+|100126332|100126410|100124477|100124723|100127954|100128021	0.819553935093933	0.381421332676117	5.55025090874171e-35
1475|ENSG00000137266.14_2|SLC22A23|chr6|-|3285169|3285193|3284085|3284209|3285312|3285345	0.00263979771929701	0.843014749414758	8.55969333269732e-175
1508|ENSG00000204843.12_3|DCTN1|chr2|-|74590740|74590755|74590420|74590554|74592201|74592368	0.00617690355936804	0.517756332933131	4.29065548215857e-209
1541|ENSG00000204843.12_3|DCTN1|chr2|-|74600054|74600075|74598483|74598855|74604558|74604593	0.000338829776698375	0.106687755977184	6.0308527085084e-134
1544|ENSG00000204843.12_3|DCTN1|chr2|-|74601449|74601467|74598663|74598855|74604558|74604593	0.249954905317021	0.0445101713680785	5.01237055198606e-41
1545|ENSG00000204843.12_3|DCTN1|chr2|-|74601449|74601467|74600054|74600075|74604558|74604593	0.161859419184965	0.482709129677943	4.3440705288247e-147
1547|ENSG00000204843.12_3|DCTN1|chr2|-|74603868|74603889|74601449|74601467|74604558|74604593	0.00521146921181965	0.402319964460639	8.57233627080357e-169
1615|ENSG00000221926.11_3|TRIM16|chr17|-|15554404|15555260|15546034|15546130|15580489|15580594	0.0427117542510488	0.699357671884163	5.47768539540385e-42
1703|ENSG00000132466.18_3|ANKRD17|chr4|-|74005247|74006000|74000833|74000979|74007457|74007509	0.990832498480455	0.768014845041743	0.216569271327928
1704|ENSG00000132466.18_3|ANKRD17|chr4|-|74005247|74006000|74000833|74000982|74007457|74007509	0.140713466761857	0.244891494569828	0.0179919662412877
1718|ENSG00000136840.18_3|ST6GALNAC4|chr9|-|130672229|130672337|130670164|130670860|130674546|130674959	0.13927918976692	0.97371476105309	1.47332692120867e-26
1720|ENSG00000136840.18_3|ST6GALNAC4|chr9|-|130672229|130672807|130670596|130670860|130674546|130674959	0.354507928616424	0.959054997693772	1.61818363923734e-17
1727|ENSG00000136840.18_3|ST6GALNAC4|chr9|-|130678686|130678773|130676934|130677120|130679104|130679297	0.0350629383743276	0.0703394319410211	2.15214529015518e-35
1739|ENSG00000120071.13_3|KANSL1|chr17|-|44116392|44116581|44115903|44116052|44117067|44117250	0.0644737948241713	0.969763943377177	4.1410057649652e-136
1784|ENSG00000197323.11_3|TRIM33|chr1|-|114940561|114940612|114935398|114940482|114942078|114942231	0.106041107342271	0.374513234768144	6.07588735786167e-11
1887|ENSG00000116586.11_2|LAMTOR2|chr1|+|156027768|156027858|156024875|156025216|156028105|156028297	0.299998834602934	0.522951441394567	1.80195339715419e-85
1909|ENSG00000111237.18_2|VPS29|chr12|-|110936624|110936664|110933816|110934008|110937339|110937351	0.56835748172052	0.405507713775266	0.00118248350557481
1915|ENSG00000111237.18_2|VPS29|chr12|-|110937339|110937351|110933816|110934008|110939853|110939904	0.0378705919275936	0.0173175151337698	2.13491710505936e-149
1931|ENSG00000157540.19_3|DYRK1A|chr21|+|38792600|38792686|38739882|38739930|38844985|38845113	0.188059273193907	0.823264897322121	9.08044839585543e-06
1986|ENSG00000113407.13_3|TARS|chr5|+|33448646|33448837|33445429|33445510|33453393|33453451	0.245985733646944	0.636428501661495	4.63334459946709e-20
2262|ENSG00000172031.6_2|EPHX4|chr1|+|92508379|92508537|92498061|92498147|92511088|92511217	0.143173699970495	0.197639739089082	3.62506866823656e-15
2352|ENSG00000148814.17_2|LRRC27|chr10|+|134155716|134155775|134151068|134151199|134158001|134158154	0.650375881112048	0.196649573520971	2.04097724361714e-42
2363|ENSG00000148814.17_2|LRRC27|chr10|+|134162466|134162561|134161487|134161860|134165110|134165257	0.383255065446573	0.44314954224842	2.58835408238189e-25
2413|ENSG00000184916.8_3|JAG2|chr14|-|105617327|105617441|105617201|105617248|105617619|105617733	0.497194144368592	0.144670570307201	1.68011065120998e-31
2655|ENSG00000147044.20_3|CASK|chrX|-|41416284|41416353|41414852|41414888|41419031|41419100	0.391437156076588	0.991215946344635	8.5062516624372e-07
2661|ENSG00000147044.20_3|CASK|chrX|-|41481869|41481887|41469156|41469278|41485856|41485956	0.00846856480342738	0.860403740981097	3.56181727527836e-194
2676|ENSG00000147010.17_3|SH3KBP1|chrX|-|19564039|19564168|19560042|19560311|19568091|19568201	0.143197295923426	0.317483663906103	4.15606303631932e-47
2694|ENSG00000147010.17_3|SH3KBP1|chrX|-|19705734|19705809|19701940|19702146|19713729|19713859	0.0091596350912605	0.466320252252376	7.43308390848362e-113
2696|ENSG00000147010.17_3|SH3KBP1|chrX|-|19713112|19713169|19701940|19702146|19713729|19713859	0.0596726374006854	0.0412607219721317	1.3343360368607e-77
2727|ENSG00000225190.10_3|PLEKHM1|chr17|-|43555170|43555513|43553061|43553092|43559802|43559891	0.800561379379805	0.68271671442859	5.60780098405546e-07
2745|ENSG00000115756.12_3|HPCAL1|chr2|+|10548687|10548860|10536960|10537046|10559859|10560261	0.342679365978961	0.047410511703287	3.18577737354688e-54
2801|ENSG00000101407.12_2|TTI1|chr20|-|36639916|36642259|36634598|36634799|36661805|36661870	0.022189174547096	0.634455207461124	8.61398693946045e-08
2804|ENSG00000105122.12_3|RASAL3|chr19|-|15562855|15562919|15562434|15562749|15563468|15563626	0.0779816602961928	0.232498473259949	4.83769559551716e-09
2814|ENSG00000103275.19_3|UBE2I|chr16|+|1362347|1362604|1359635|1359774|1364020|1364097	0.572790006622126	0.222270796988257	8.8883007799842e-58
2868|ENSG00000185787.14_3|MORF4L1|chr15|+|79177308|79177425|79170554|79170601|79178482|79178569	0.212934019942239	0.795344797051053	0.0693747645618929
2870|ENSG00000185787.14_3|MORF4L1|chr15|+|79177311|79177425|79170581|79170601|79178482|79178569	0.20432120731668	0.797008635322441	0.0702832679261983
3102|ENSG00000186648.14_3|CARMIL3|chr14|+|24534830|24534959|24534166|24534482|24535606|24535673	0.551463155791135	0.174015424535344	3.06656530895513e-20
3113|ENSG00000110958.15_2|PTGES3|chr12|-|57059415|57060050|57058559|57058584|57064058|57064148	0.0719194104508458	0.403590617537094	6.99650820311266e-10
