"Exon ID"	"Gene Symbol"	"Chr"	"Strand"	"Exon Start"	"Exon End"	"Upstream Exon Start"	"Upstream Exon End"	"Downstream Exon Start"	"Downstream Exon End"	"P-value"	"FDR"
"77|ENSG00000148218.15_3|ALAD|chr9|-|116154398|116154615|116154398|116154449|116155726|116155914"	"ENSG00000148218.15_3"	"ALAD"	"chr9"	"-"	"116154398"	"116154615"	"116154398"	"116154449"	"116155726"	"116155914"	"0"	"0"
"5372|ENSG00000166313.18_3|APBB1|chr11|-|6422803|6423212|6422803|6422918|6423311|6423439"	"ENSG00000166313.18_3"	"APBB1"	"chr11"	"-"	"6422803"	"6423212"	"6422803"	"6422918"	"6423311"	"6423439"	"0"	"0"
"9718|ENSG00000166501.12_3|PRKCB|chr16|+|24225978|24231932|24231281|24231932|24202410|24202551"	"ENSG00000166501.12_3"	"PRKCB"	"chr16"	"+"	"24225978"	"24231932"	"24231281"	"24231932"	"24202410"	"24202551"	"0"	"0"
"11222|ENSG00000250067.11_3|YJEFN3|chr19|+|19643912|19645953|19645842|19645953|19643440|19643549"	"ENSG00000250067.11_3"	"YJEFN3"	"chr19"	"+"	"19643912"	"19645953"	"19645842"	"19645953"	"19643440"	"19643549"	"0"	"0"
"10944|ENSG00000135525.18_3|MAP7|chr6|-|136693638|136693787|136693638|136693763|136698892|136699006"	"ENSG00000135525.18_3"	"MAP7"	"chr6"	"-"	"136693638"	"136693787"	"136693638"	"136693763"	"136698892"	"136699006"	"1.93673733169769e-321"	"9.42805709333017e-319"
"3446|ENSG00000101199.12_2|ARFGAP1|chr20|+|61917717|61917794|61917723|61917794|61917005|61917065"	"ENSG00000101199.12_2"	"ARFGAP1"	"chr20"	"+"	"61917717"	"61917794"	"61917723"	"61917794"	"61917005"	"61917065"	"2.0620116287259e-317"	"8.36489384053141e-315"
"6739|ENSG00000107331.16_3|ABCA2|chr9|-|139917392|139918292|139917392|139917504|139918594|139918688"	"ENSG00000107331.16_3"	"ABCA2"	"chr9"	"-"	"139917392"	"139918292"	"139917392"	"139917504"	"139918594"	"139918688"	"3.86968437337379e-304"	"1.3455445378274e-301"
"12962|ENSG00000135365.15_3|PHF21A|chr11|-|45967390|45967649|45967390|45967554|45970436|45970497"	"ENSG00000135365.15_3"	"PHF21A"	"chr11"	"-"	"45967390"	"45967649"	"45967390"	"45967554"	"45970436"	"45970497"	"3.63215669257756e-301"	"1.10508367371672e-298"
"10643|ENSG00000127564.16_3|PKMYT1|chr16|-|3023138|3023446|3023138|3023216|3024000|3024158"	"ENSG00000127564.16_3"	"PKMYT1"	"chr16"	"-"	"3023138"	"3023446"	"3023138"	"3023216"	"3024000"	"3024158"	"2.39612424399782e-290"	"6.48018489987855e-288"
"8222|ENSG00000186281.12_2|GPAT2|chr2|-|96688705|96689188|96688705|96688771|96689936|96690085"	"ENSG00000186281.12_2"	"GPAT2"	"chr2"	"-"	"96688705"	"96689188"	"96688705"	"96688771"	"96689936"	"96690085"	"2.58974535854457e-287"	"6.30344020269748e-285"
"2186|ENSG00000108819.10_2|PPP1R9B|chr17|-|48217457|48217724|48217457|48217593|48218633|48218738"	"ENSG00000108819.10_2"	"PPP1R9B"	"chr17"	"-"	"48217457"	"48217724"	"48217457"	"48217593"	"48218633"	"48218738"	"5.01569895959901e-285"	"1.10983738796945e-282"
"10642|ENSG00000127564.16_3|PKMYT1|chr16|-|3023138|3023254|3023138|3023216|3024000|3024158"	"ENSG00000127564.16_3"	"PKMYT1"	"chr16"	"-"	"3023138"	"3023254"	"3023138"	"3023216"	"3024000"	"3024158"	"8.92966365713021e-274"	"1.81123344512124e-271"
"6366|ENSG00000058404.19_2|CAMK2B|chr7|-|44256748|44259121|44256748|44257334|44259658|44259893"	"ENSG00000058404.19_2"	"CAMK2B"	"chr7"	"-"	"44256748"	"44259121"	"44256748"	"44257334"	"44259658"	"44259893"	"7.83524317229156e-272"	"1.46699860625828e-269"
"302|ENSG00000136478.7_3|TEX2|chr17|-|62232201|62232327|62232201|62232321|62238160|62238293"	"ENSG00000136478.7_3"	"TEX2"	"chr17"	"-"	"62232201"	"62232327"	"62232201"	"62232321"	"62238160"	"62238293"	"1.49750107650673e-269"	"2.60351258586956e-267"
"5371|ENSG00000166313.18_3|APBB1|chr11|-|6422803|6422924|6422803|6422918|6423311|6423439"	"ENSG00000166313.18_3"	"APBB1"	"chr11"	"-"	"6422803"	"6422924"	"6422803"	"6422918"	"6423311"	"6423439"	"4.8588395923427e-264"	"7.88427704517476e-262"
"12873|ENSG00000101473.16_2|ACOT8|chr20|-|44472165|44472411|44472165|44472360|44472901|44473059"	"ENSG00000101473.16_2"	"ACOT8"	"chr20"	"-"	"44472165"	"44472411"	"44472165"	"44472360"	"44472901"	"44473059"	"2.37889314994367e-262"	"3.61889120435181e-260"
"8169|ENSG00000100908.13_2|EMC9|chr14|-|24608753|24608998|24608753|24608823|24610097|24610174"	"ENSG00000100908.13_2"	"EMC9"	"chr14"	"-"	"24608753"	"24608998"	"24608753"	"24608823"	"24610097"	"24610174"	"1.39092590764134e-241"	"1.99147862305825e-239"
"11719|ENSG00000120533.12_2|ENY2|chr8|+|110352672|110352792|110352717|110352792|110351548|110351619"	"ENSG00000120533.12_2"	"ENY2"	"chr8"	"+"	"110352672"	"110352792"	"110352717"	"110352792"	"110351548"	"110351619"	"1.00730180101679e-238"	"1.36209587981937e-236"
"13002|ENSG00000107223.12_2|EDF1|chr9|-|139756570|139756948|139756570|139756797|139757357|139757451"	"ENSG00000107223.12_2"	"EDF1"	"chr9"	"-"	"139756570"	"139756948"	"139756570"	"139756797"	"139757357"	"139757451"	"1.23958350437409e-229"	"1.58797171034028e-227"
"4216|ENSG00000078808.16_2|SDF4|chr1|-|1154148|1154323|1154148|1154307|1158623|1158737"	"ENSG00000078808.16_2"	"SDF4"	"chr1"	"-"	"1154148"	"1154323"	"1154148"	"1154307"	"1158623"	"1158737"	"2.13169567756555e-225"	"2.59427363959727e-223"
"4921|ENSG00000140365.15_3|COMMD4|chr15|+|75630916|75631026|75630986|75631026|75630695|75630761"	"ENSG00000140365.15_3"	"COMMD4"	"chr15"	"+"	"75630916"	"75631026"	"75630986"	"75631026"	"75630695"	"75630761"	"1.18021728957115e-224"	"1.36792803943628e-222"
"519|ENSG00000107959.15_3|PITRM1|chr10|-|3185580|3185923|3185580|3185693|3186483|3186558"	"ENSG00000107959.15_3"	"PITRM1"	"chr10"	"-"	"3185580"	"3185923"	"3185580"	"3185693"	"3186483"	"3186558"	"1.45125231975121e-224"	"1.60561279376111e-222"
"11347|ENSG00000070087.13_3|PFN2|chr3|-|149682690|149684373|149682690|149684051|149686144|149686337"	"ENSG00000070087.13_3"	"PFN2"	"chr3"	"-"	"149682690"	"149684373"	"149682690"	"149684051"	"149686144"	"149686337"	"2.38995775441008e-222"	"2.52919877140615e-220"
"3550|ENSG00000186635.14_3|ARAP1|chr11|-|72406586|72406910|72406586|72406673|72407593|72407699"	"ENSG00000186635.14_3"	"ARAP1"	"chr11"	"-"	"72406586"	"72406910"	"72406586"	"72406673"	"72407593"	"72407699"	"2.0294819368122e-221"	"2.05823293091704e-219"
"4717|ENSG00000130731.15_3|METTL26|chr16|-|684888|685063|684888|684956|685280|685340"	"ENSG00000130731.15_3"	"METTL26"	"chr16"	"-"	"684888"	"685063"	"684888"	"684956"	"685280"	"685340"	"3.66187783246226e-219"	"3.56520425768526e-217"
"6963|ENSG00000156642.16_2|NPTN|chr15|-|73855576|73855598|73855576|73855586|73862490|73862764"	"ENSG00000156642.16_2"	"NPTN"	"chr15"	"-"	"73855576"	"73855598"	"73855576"	"73855586"	"73862490"	"73862764"	"9.88969848089702e-219"	"9.2582792701936e-217"
"4217|ENSG00000078808.16_2|SDF4|chr1|-|1154148|1154385|1154148|1154307|1158623|1158737"	"ENSG00000078808.16_2"	"SDF4"	"chr1"	"-"	"1154148"	"1154385"	"1154148"	"1154307"	"1158623"	"1158737"	"5.70471207896985e-217"	"5.14269229637504e-215"
"5267|ENSG00000111144.9_2|LTA4H|chr12|-|96397615|96397759|96397615|96397698|96400091|96400187"	"ENSG00000111144.9_2"	"LTA4H"	"chr12"	"-"	"96397615"	"96397759"	"96397615"	"96397698"	"96400091"	"96400187"	"2.54337119436772e-215"	"2.21091624538965e-213"
"11051|ENSG00000076864.19_3|RAP1GAP|chr1|-|21929296|21930405|21929296|21929406|21932558|21932690"	"ENSG00000076864.19_3"	"RAP1GAP"	"chr1"	"-"	"21929296"	"21930405"	"21929296"	"21929406"	"21932558"	"21932690"	"5.56843284046812e-215"	"4.67364328748255e-213"
"7032|ENSG00000183258.11_3|DDX41|chr5|-|176942186|176942362|176942186|176942259|176942685|176942822"	"ENSG00000183258.11_3"	"DDX41"	"chr5"	"-"	"176942186"	"176942362"	"176942186"	"176942259"	"176942685"	"176942822"	"1.13934125782093e-214"	"9.24385540512048e-213"
"1416|ENSG00000099622.13_3|CIRBP|chr19|+|1270865|1271035|1270926|1271035|1269329|1269409"	"ENSG00000099622.13_3"	"CIRBP"	"chr19"	"+"	"1270865"	"1271035"	"1270926"	"1271035"	"1269329"	"1269409"	"1.97888829959899e-214"	"1.5537464907174e-212"
"7031|ENSG00000183258.11_3|DDX41|chr5|-|176942186|176942340|176942186|176942259|176942685|176942822"	"ENSG00000183258.11_3"	"DDX41"	"chr5"	"-"	"176942186"	"176942340"	"176942186"	"176942259"	"176942685"	"176942822"	"3.62314799037452e-212"	"2.75585694017862e-210"
"3443|ENSG00000213593.9_3|TMX2|chr11|+|57505307|57505498|57505384|57505498|57505079|57505140"	"ENSG00000213593.9_3"	"TMX2"	"chr11"	"+"	"57505307"	"57505498"	"57505384"	"57505498"	"57505079"	"57505140"	"1.33795449490125e-209"	"9.86842800178679e-208"
"8073|ENSG00000115307.16_2|AUP1|chr2|-|74754067|74754248|74754067|74754186|74754374|74754490"	"ENSG00000115307.16_2"	"AUP1"	"chr2"	"-"	"74754067"	"74754248"	"74754067"	"74754186"	"74754374"	"74754490"	"1.97587556759491e-208"	"1.41449445044883e-206"
"2952|ENSG00000116151.13_3|MORN1|chr1|-|2316416|2316597|2316416|2316504|2317245|2317336"	"ENSG00000116151.13_3"	"MORN1"	"chr1"	"-"	"2316416"	"2316597"	"2316416"	"2316504"	"2317245"	"2317336"	"5.37840601973106e-207"	"3.7402972148644e-205"
"10381|ENSG00000149294.16_3|NCAM1|chr11|+|113126595|113126723|113126598|113126723|113105754|113105886"	"ENSG00000149294.16_3"	"NCAM1"	"chr11"	"+"	"113126595"	"113126723"	"113126598"	"113126723"	"113105754"	"113105886"	"5.69980597812714e-207"	"3.85370215298929e-205"
"8170|ENSG00000100908.13_2|EMC9|chr14|-|24608753|24609025|24608753|24608823|24610097|24610174"	"ENSG00000100908.13_2"	"EMC9"	"chr14"	"-"	"24608753"	"24609025"	"24608753"	"24608823"	"24610097"	"24610174"	"3.52603346959723e-205"	"2.31955823378369e-203"
"2577|ENSG00000151150.21_3|ANK3|chr10|-|61894028|61894131|61894028|61894116|61898721|61898845"	"ENSG00000151150.21_3"	"ANK3"	"chr10"	"-"	"61894028"	"61894131"	"61894028"	"61894116"	"61898721"	"61898845"	"1.12952520259943e-202"	"7.23490616612372e-201"
"11936|ENSG00000175634.14_3|RPS6KB2|chr11|+|67200596|67200918|67200810|67200918|67200422|67200513"	"ENSG00000175634.14_3"	"RPS6KB2"	"chr11"	"+"	"67200596"	"67200918"	"67200810"	"67200918"	"67200422"	"67200513"	"1.82678122389223e-202"	"1.14009884588556e-200"
"9194|ENSG00000178104.19_3|PDE4DIP|chr1|-|144952565|144955292|144952565|144952689|144994590|144994701"	"ENSG00000178104.19_3"	"PDE4DIP"	"chr1"	"-"	"144952565"	"144955292"	"144952565"	"144952689"	"144994590"	"144994701"	"2.1101666700947e-202"	"1.28403641875263e-200"
"585|ENSG00000113108.19_3|APBB3|chr5|-|139941428|139941580|139941428|139941434|139941684|139941812"	"ENSG00000113108.19_3"	"APBB3"	"chr5"	"-"	"139941428"	"139941580"	"139941428"	"139941434"	"139941684"	"139941812"	"3.10697165799256e-202"	"1.84448024769607e-200"
"11561|ENSG00000174672.15_2|BRSK2|chr11|+|1481729|1482944|1482199|1482944|1480421|1480469"	"ENSG00000174672.15_2"	"BRSK2"	"chr11"	"+"	"1481729"	"1482944"	"1482199"	"1482944"	"1480421"	"1480469"	"9.01318704934909e-200"	"5.22335649478945e-198"
