ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000197302.10_3"	"ZNF720"	chr16	+	31733946	31734073	31734578	31734674	31724549	31724769	31765086	31765857
1	"ENSG00000197302.10_3"	"ZNF720"	chr16	+	31733946	31734073	31734578	31734674	31724554	31724756	31765086	31765221
2	"ENSG00000197302.10_3"	"ZNF720"	chr16	+	31734578	31734674	31765086	31765221	31733946	31734073	31770677	31772886
3	"ENSG00000182752.9_3"	"PAPPA"	chr9	+	119093522	119093636	119094611	119094747	119065035	119065229	119097139	119097353
4	"ENSG00000182752.9_3"	"PAPPA"	chr9	+	119094611	119094747	119097139	119097353	119093522	119093636	119106821	119106990
5	"ENSG00000197275.13_3"	"RAD54B"	chr8	-	95416304	95416467	95419666	95419948	95412465	95412691	95423348	95423543
6	"ENSG00000197275.13_3"	"RAD54B"	chr8	-	95419666	95419948	95423348	95423543	95412465	95412691	95470495	95470664
7	"ENSG00000197275.13_3"	"RAD54B"	chr8	-	95419666	95419948	95423348	95423543	95416304	95416467	95470495	95470664
8	"ENSG00000197275.13_3"	"RAD54B"	chr8	-	95423348	95423543	95470495	95470664	95419666	95419948	95479632	95479783
10	"ENSG00000064703.11_2"	"DDX20"	chr1	+	112302021	112302190	112303327	112303470	112299267	112299362	112303608	112303747
11	"ENSG00000064703.11_2"	"DDX20"	chr1	+	112303327	112303470	112303608	112303747	112302021	112302190	112303847	112303906
12	"ENSG00000064703.11_2"	"DDX20"	chr1	+	112304876	112304959	112305298	112305404	112303847	112303906	112305527	112305629
13	"ENSG00000145808.9_2"	"ADAMTS19"	chr5	+	128994309	128994430	129001191	129001272	128989998	128990126	129015456	129015614
14	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25666964	25667070	25669451	25669564	25664407	25664947	25678116	25678184
15	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25666964	25667070	25679372	25679465	25664407	25664947	25683283	25683344
16	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25666964	25667070	25683283	25683344	25664407	25664947	25687150	25688852
17	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25666964	25667070	25678116	25678184	25664950	25665308	25679372	25679465
18	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25666964	25667070	25679372	25679465	25664950	25665308	25683283	25683344
19	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25669451	25669564	25679372	25679465	25664407	25664947	25683283	25683344
20	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25669451	25669564	25683283	25683344	25664407	25664947	25687150	25688852
22	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25669451	25669564	25679372	25679465	25666964	25667070	25683283	25683344
23	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25669451	25669564	25683283	25683344	25666964	25667070	25687150	25687770
24	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25678116	25678184	25679372	25679465	25664810	25664947	25683283	25683344
25	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25678116	25678184	25683283	25683344	25664810	25664947	25687150	25687756
26	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25678116	25678184	25679372	25679465	25664950	25665308	25683283	25683344
27	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25678116	25678184	25679372	25679465	25666964	25667070	25683283	25683344
28	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25678116	25678184	25683283	25683344	25666964	25667070	25687150	25687458
29	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25678116	25678184	25679372	25679465	25669451	25669564	25683283	25683344
30	"ENSG00000183726.10_2"	"TMEM50A"	chr1	+	25678116	25678184	25683283	25683344	25669451	25669564	25687150	25687770
