"Exon ID"	"Gene Symbol"	"Chr"	"Strand"	"Exon Start"	"Exon End"	"Upstream Exon Start"	"Upstream Exon End"	"Downstream Exon Start"	"Downstream Exon End"	"P-value"	"FDR"
"4905|ENSG00000197694.15_3|SPTAN1|chr9|+|131355261|131355321|131353755|131353904|131356453|131356652"	"ENSG00000197694.15_3"	"SPTAN1"	"chr9"	"+"	"131355261"	"131355321"	"131353755"	"131353904"	"131356453"	"131356652"	"0"	"0"
"6437|ENSG00000182667.14_3|NTM|chr11|+|132200046|132200079|132184445|132184597|132204939|132205345"	"ENSG00000182667.14_3"	"NTM"	"chr11"	"+"	"132200046"	"132200079"	"132184445"	"132184597"	"132204939"	"132205345"	"0"	"0"
"9720|ENSG00000019144.18_3|PHLDB1|chr11|+|118515364|118515409|118514789|118514892|118516073|118516368"	"ENSG00000019144.18_3"	"PHLDB1"	"chr11"	"+"	"118515364"	"118515409"	"118514789"	"118514892"	"118516073"	"118516368"	"0"	"0"
"9737|ENSG00000019144.18_3|PHLDB1|chr11|+|118526569|118526602|118526314|118526400|118527392|118528741"	"ENSG00000019144.18_3"	"PHLDB1"	"chr11"	"+"	"118526569"	"118526602"	"118526314"	"118526400"	"118527392"	"118528741"	"0"	"0"
"10764|ENSG00000075413.17_3|MARK3|chr14|+|103964838|103964865|103957875|103958371|103966492|103966537"	"ENSG00000075413.17_3"	"MARK3"	"chr14"	"+"	"103964838"	"103964865"	"103957875"	"103958371"	"103966492"	"103966537"	"0"	"0"
"12158|ENSG00000165487.13_2|MICU2|chr13|-|22089672|22089699|22088491|22088557|22095383|22095466"	"ENSG00000165487.13_2"	"MICU2"	"chr13"	"-"	"22089672"	"22089699"	"22088491"	"22088557"	"22095383"	"22095466"	"0"	"0"
"14841|ENSG00000166685.11_3|COG1|chr17|+|71203840|71203878|71203319|71203395|71204452|71204559"	"ENSG00000166685.11_3"	"COG1"	"chr17"	"+"	"71203840"	"71203878"	"71203319"	"71203395"	"71204452"	"71204559"	"0"	"0"
"23346|ENSG00000099331.13_3|MYO9B|chr19|+|17294637|17294677|17291453|17291849|17295673|17295707"	"ENSG00000099331.13_3"	"MYO9B"	"chr19"	"+"	"17294637"	"17294677"	"17291453"	"17291849"	"17295673"	"17295707"	"0"	"0"
"24088|ENSG00000243708.10_3|PLA2G4B|chr15|+|42133714|42133769|42133428|42133471|42134016|42134147"	"ENSG00000243708.10_3"	"PLA2G4B"	"chr15"	"+"	"42133714"	"42133769"	"42133428"	"42133471"	"42134016"	"42134147"	"0"	"0"
"25883|ENSG00000182985.17_3|CADM1|chr11|-|115080293|115080377|115069125|115069158|115085327|115085414"	"ENSG00000182985.17_3"	"CADM1"	"chr11"	"-"	"115080293"	"115080377"	"115069125"	"115069158"	"115085327"	"115085414"	"0"	"0"
