"Exon ID"	"Gene Symbol"	"Chr"	"Strand"	"Exon Start"	"Exon End"	"Upstream Exon Start"	"Upstream Exon End"	"Downstream Exon Start"	"Downstream Exon End"	"P-value"	"FDR"
"67293|ENSG00000134982.16_3|APC|chr5|+|112090569|112090722|112073581|112073622|112102022|112102080"	"ENSG00000134982.16_3"	"APC"	"chr5"	"+"	"112090569"	"112090722"	"112073581"	"112073622"	"112102022"	"112102080"	"1.24854049370876e-06"	"0.00545519352962024"
"113503|ENSG00000152061.23_3|RABGAP1L|chr1|+|174927027|174927310|174926593|174926686|174938413|174938524"	"ENSG00000152061.23_3"	"RABGAP1L"	"chr1"	"+"	"174927027"	"174927310"	"174926593"	"174926686"	"174938413"	"174938524"	"1.53822179576936e-06"	"0.00545519352962024"
"197392|ENSG00000115504.14_3|EHBP1|chr2|+|63085540|63085645|63058153|63058293|63086303|63086426"	"ENSG00000115504.14_3"	"EHBP1"	"chr2"	"+"	"63085540"	"63085645"	"63058153"	"63058293"	"63086303"	"63086426"	"1.75540202549663e-06"	"0.00545519352962024"
"370563|ENSG00000116731.22_3|PRDM2|chr1|+|14095533|14095668|14075930|14075982|14099572|14099683"	"ENSG00000116731.22_3"	"PRDM2"	"chr1"	"+"	"14095533"	"14095668"	"14075930"	"14075982"	"14099572"	"14099683"	"2.04601726380506e-06"	"0.00545519352962024"
"41239|ENSG00000116641.17_3|DOCK7|chr1|-|63009326|63009416|63008278|63008374|63010617|63010710"	"ENSG00000116641.17_3"	"DOCK7"	"chr1"	"-"	"63009326"	"63009416"	"63008278"	"63008374"	"63010617"	"63010710"	"4.4203794506957e-06"	"0.00827878690508136"
"18861|ENSG00000112851.14_3|ERBIN|chr5|+|65364704|65364848|65349233|65350779|65372143|65372236"	"ENSG00000112851.14_3"	"ERBIN"	"chr5"	"+"	"65364704"	"65364848"	"65349233"	"65350779"	"65372143"	"65372236"	"5.17412057607053e-06"	"0.00827878690508136"
"200391|ENSG00000129353.14_3|SLC44A2|chr19|+|10753572|10753697|10753042|10753127|10753954|10754806"	"ENSG00000129353.14_3"	"SLC44A2"	"chr19"	"+"	"10753572"	"10753697"	"10753042"	"10753127"	"10753954"	"10754806"	"5.43380293816873e-06"	"0.00827878690508136"
"315826|ENSG00000165802.21_3|NSMF|chr9|-|140349690|140349759|140348842|140348895|140350862|140350938"	"ENSG00000165802.21_3"	"NSMF"	"chr9"	"-"	"140349690"	"140349759"	"140348842"	"140348895"	"140350862"	"140350938"	"7.40766739056872e-06"	"0.00987534659005192"
"315830|ENSG00000165802.21_3|NSMF|chr9|-|140350080|140350086|140349690|140349759|140350862|140350938"	"ENSG00000165802.21_3"	"NSMF"	"chr9"	"-"	"140350080"	"140350086"	"140349690"	"140349759"	"140350862"	"140350938"	"8.7545079509045e-06"	"0.0103740919218218"
"289927|ENSG00000111832.12_3|RWDD1|chr6|+|116894020|116894148|116892571|116892818|116895220|116895334"	"ENSG00000111832.12_3"	"RWDD1"	"chr6"	"+"	"116894020"	"116894148"	"116892571"	"116892818"	"116895220"	"116895334"	"1.03361063082226e-05"	"0.0110234573777194"
"365220|ENSG00000137700.17_3|SLC37A4|chr11|-|118896401|118896467|118895900|118896039|118896676|118896790"	"ENSG00000137700.17_3"	"SLC37A4"	"chr11"	"-"	"118896401"	"118896467"	"118895900"	"118896039"	"118896676"	"118896790"	"1.84039870200421e-05"	"0.0178435019607954"
