ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"ENSG00000101557.14_3"	"USP14"	chr18	+	209970	210493	209970	210031	210385	210493
2	"ENSG00000221838.9_2"	"AP4M1"	chr7	+	99699502	99700016	99699502	99699591	99699868	99700016
5	"ENSG00000106346.11_2"	"USP42"	chr7	+	6178722	6179826	6178722	6178825	6179758	6179826
6	"ENSG00000205593.11_3"	"DENND6B"	chr22	-	50752242	50752701	50752242	50752307	50752635	50752701
7	"ENSG00000205593.11_3"	"DENND6B"	chr22	-	50754453	50754904	50754453	50754516	50754798	50754904
8	"ENSG00000071462.11_3"	"WBSCR22"	chr7	+	73106925	73107744	73106925	73106976	73107658	73107744
9	"ENSG00000111664.10_3"	"GNB3"	chr12	+	6950421	6950788	6950421	6950508	6950749	6950788
12	"ENSG00000228021.7_2"	"RP11-383C5.3"	chr10	+	127395150	127395573	127395150	127395252	127395523	127395573
13	"ENSG00000255036.6_3"	"RP11-23J9.4"	chr9	+	100124477	100124723	100124477	100124533	100124644	100124723
15	"ENSG00000206503.12_2"	"HLA-A"	chr6	+	29910533	29911320	29910533	29910803	29911044	29911320
16	"ENSG00000206503.12_2"	"HLA-A"	chr6	+	29910533	29911320	29910533	29910631	29911061	29911320
17	"ENSG00000206503.12_2"	"HLA-A"	chr6	+	29912276	29912868	29912276	29912393	29912835	29912868
18	"ENSG00000206503.12_2"	"HLA-A"	chr6	+	29912276	29912868	29912276	29912411	29912835	29912868
19	"ENSG00000206503.12_2"	"HLA-A"	chr6	+	29912276	29912868	29912276	29912393	29912839	29912868
21	"ENSG00000137266.14_2"	"SLC22A23"	chr6	-	3272007	3273646	3272007	3272725	3273062	3273646
22	"ENSG00000204843.12_3"	"DCTN1"	chr2	-	74592201	74592784	74592201	74592368	74592641	74592784
23	"ENSG00000204843.12_3"	"DCTN1"	chr2	-	74593370	74593747	74593370	74593502	74593585	74593747
24	"ENSG00000204843.12_3"	"DCTN1"	chr2	-	74593585	74594059	74593585	74593747	74593909	74594059
25	"ENSG00000204843.12_3"	"DCTN1"	chr2	-	74595097	74596007	74595097	74595258	74595854	74596007
26	"ENSG00000221926.11_3"	"TRIM16"	chr17	-	15586349	15587613	15586349	15586471	15587509	15587613
28	"ENSG00000105325.13_2"	"FZR1"	chr19	+	3526117	3526384	3526117	3526181	3526256	3526384
29	"ENSG00000090659.17_3"	"CD209"	chr19	-	7812191	7812397	7812191	7812251	7812351	7812397
30	"ENSG00000036672.15_3"	"USP2"	chr11	-	119229733	119230052	119229733	119229844	119229940	119230052

