ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000197302.10_3"	"ZNF720"	chr16	+	31725687	31725738	31724623	31724828	31733946	31734073
1	"ENSG00000197302.10_3"	"ZNF720"	chr16	+	31725687	31725738	31724623	31724828	31765086	31765177
2	"ENSG00000197302.10_3"	"ZNF720"	chr16	+	31733946	31734073	31724549	31724769	31734578	31734674
4	"ENSG00000197302.10_3"	"ZNF720"	chr16	+	31733946	31734073	31724554	31724756	31734578	31734674
6	"ENSG00000197302.10_3"	"ZNF720"	chr16	+	31733946	31734073	31724623	31724828	31765086	31765177
7	"ENSG00000197302.10_3"	"ZNF720"	chr16	+	31733946	31734073	31725687	31725738	31765086	31765177
10	"ENSG00000197302.10_3"	"ZNF720"	chr16	+	31734578	31734674	31733946	31734073	31765086	31765177
13	"ENSG00000197302.10_3"	"ZNF720"	chr16	+	31765086	31765221	31734578	31734674	31770677	31770787
15	"ENSG00000197302.10_3"	"ZNF720"	chr16	+	31804655	31804732	31803950	31804051	31805022	31805028
16	"ENSG00000182752.9_3"	"PAPPA"	chr9	+	118973917	118974211	118969734	118969880	118982215	118982408
17	"ENSG00000182752.9_3"	"PAPPA"	chr9	+	119093522	119093636	119065035	119065229	119094611	119094747
18	"ENSG00000182752.9_3"	"PAPPA"	chr9	+	119094611	119094747	119093522	119093636	119097139	119097353
19	"ENSG00000182752.9_3"	"PAPPA"	chr9	+	119095022	119095125	119094710	119094747	119097139	119097353
20	"ENSG00000182752.9_3"	"PAPPA"	chr9	+	119097139	119097353	119094611	119094747	119106821	119106990
21	"ENSG00000182752.9_3"	"PAPPA"	chr9	+	119115900	119116072	119114984	119115195	119124870	119125018
22	"ENSG00000182752.9_3"	"PAPPA"	chr9	+	119144673	119144772	119139854	119139926	119158787	119158895
23	"ENSG00000253973.2_2"	"RP11-467K18.2"	chr11	+	9051753	9051885	9025708	9026090	9078785	9078831
24	"ENSG00000253973.2_2"	"RP11-467K18.2"	chr11	+	9081154	9081286	9078797	9079002	9086078	9086701
25	"ENSG00000197275.13_3"	"RAD54B"	chr8	-	95390407	95390608	95384187	95384615	95392372	95392634
26	"ENSG00000197275.13_3"	"RAD54B"	chr8	-	95390795	95390862	95390407	95390608	95392372	95392634
27	"ENSG00000197275.13_3"	"RAD54B"	chr8	-	95399211	95399387	95392372	95392634	95403836	95404127
28	"ENSG00000197275.13_3"	"RAD54B"	chr8	-	95411641	95411793	95405970	95406110	95412465	95412691
29	"ENSG00000197275.13_3"	"RAD54B"	chr8	-	95411641	95411849	95405970	95406110	95412465	95412691
30	"ENSG00000197275.13_3"	"RAD54B"	chr8	-	95416304	95416467	95412465	95412691	95419666	95419948
