ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSG00000197275.13_3"	"RAD54B"	chr8	-	95411641	95411849	95411641	95411793	95412465	95412691
1	"ENSG00000144134.18_2"	"RABL2A"	chr2	+	114386126	114386290	114386130	114386290	114384820	114384977
2	"ENSG00000144134.18_2"	"RABL2A"	chr2	+	114391729	114391809	114391733	114391809	114390491	114390521
3	"ENSG00000144134.18_2"	"RABL2A"	chr2	+	114398929	114399027	114398932	114399027	114391729	114391809
4	"ENSG00000144134.18_2"	"RABL2A"	chr2	+	114398929	114399027	114398932	114399027	114392627	114392707
5	"ENSG00000144134.18_2"	"RABL2A"	chr2	+	114398929	114399027	114398932	114399027	114398470	114398582
6	"ENSG00000137070.17_3"	"IL11RA"	chr9	+	34660800	34660933	34660850	34660933	34660500	34660597
7	"ENSG00000101557.14_3"	"USP14"	chr18	+	209970	210493	210385	210493	204563	204692
8	"ENSG00000129946.10_2"	"SHC2"	chr19	-	422145	422456	422145	422379	430683	430747
9	"ENSG00000108848.15_3"	"LUC7L3"	chr17	+	48815497	48815560	48815501	48815560	48814320	48814387
10	"ENSG00000108848.15_3"	"LUC7L3"	chr17	+	48826579	48826705	48826584	48826705	48823902	48824063
11	"ENSG00000163534.14_2"	"FCRL1"	chr1	-	157766890	157766922	157766890	157766919	157767657	157767729
12	"ENSG00000205593.11_3"	"DENND6B"	chr22	-	50752242	50752701	50752242	50752307	50752828	50752923
13	"ENSG00000205593.11_3"	"DENND6B"	chr22	-	50752242	50752701	50752242	50752307	50753033	50753129
14	"ENSG00000205593.11_3"	"DENND6B"	chr22	-	50754453	50754904	50754453	50754516	50755721	50755802
15	"ENSG00000205593.11_3"	"DENND6B"	chr22	-	50754994	50755141	50754994	50755055	50755721	50755802
16	"ENSG00000205593.11_3"	"DENND6B"	chr22	-	50754453	50754904	50754453	50754516	50756336	50756449
17	"ENSG00000205593.11_3"	"DENND6B"	chr22	-	50754453	50754904	50754453	50754516	50757275	50757318
18	"ENSG00000272869.5_3"	"CTC-487M23.8"	chr5	+	112200130	112200225	112200153	112200225	112198204	112198280
19	"ENSG00000162592.9_3"	"CCDC27"	chr1	+	3673296	3673454	3673315	3673454	3672020	3672131
20	"ENSG00000162592.9_3"	"CCDC27"	chr1	+	3679530	3680038	3679671	3680038	3679183	3679276
21	"ENSG00000153827.13_3"	"TRIP12"	chr2	-	230670445	230670599	230670445	230670518	230672423	230672580
22	"ENSG00000153827.13_3"	"TRIP12"	chr2	-	230695471	230695555	230695471	230695537	230701563	230701700
23	"ENSG00000111664.10_3"	"GNB3"	chr12	+	6952940	6953142	6953063	6953142	6952526	6952689
24	"ENSG00000111664.10_3"	"GNB3"	chr12	+	6952940	6953142	6953063	6953142	6952795	6952862
25	"ENSG00000159208.15_2"	"CIART"	chr1	+	150255617	150256043	150255871	150256043	150254952	150255028
26	"ENSG00000159208.15_2"	"CIART"	chr1	+	150255617	150256043	150255923	150256043	150254952	150255028
27	"ENSG00000159208.15_2"	"CIART"	chr1	+	150255871	150256043	150255923	150256043	150254952	150255028
28	"ENSG00000173113.6_2"	"TRMT112"	chr11	-	64084529	64084619	64084529	64084604	64084735	64084837
29	"ENSG00000228927.10_2"	"TSPY3"	chrY	+	9237828	9237921	9237839	9237921	9237587	9237733
30	"ENSG00000108187.15_2"	"PBLD"	chr10	-	70042820	70044046	70042820	70043047	70048239	70048418
